Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Lot Frontage_nans,Mas Vnr Area_nans,BsmtFin SF 1_nans,BsmtFin SF 2_nans,Bsmt Unf SF_nans,Total Bsmt SF_nans,Bsmt Full Bath_nans,Bsmt Half Bath_nans,Garage Yr Blt_nans,Garage Cars_nans,Garage Area_nans
1044,527451290,160,RM,3.044522437723423,7.426549072397305,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Rare_var,Norm,Norm,Twnhs,2Story,6,5,37,37,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,6.180016653652572,504,0,6.894670039433482,0.0,0.0,1,1,2,1,TA,4,Typ,0,Missing,Detchd,37.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,7,2008,COD,11.355101379776661,0,0,0,0,0,0,0,0,0,0,0
2752,906380150,20,RL,4.1588830833596715,8.921057018157429,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,7.0967213784947605,0,0,7.0967213784947605,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Missing,Attchd,1.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,Missing,Missing,Missing,0,2,2006,WD ,12.120514757168527,0,0,0,0,0,0,0,0,0,0,0
807,906226060,70,RL,4.787491742782046,10.181119289134408,Pave,Missing,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,129,2,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Missing,Missing,Missing,Missing,0.0,Missing,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,7.160845906664299,728,0,7.60887062919126,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,109.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,Missing,Missing,Missing,0,6,2009,WD ,11.782952602183288,0,0,0,0,0,0,0,0,0,0,0
1177,533236070,160,FV,3.1780538303479458,7.8804263442924,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,9,8,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,6.8690144506657065,645,0,7.382124365737512,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Missing,Detchd,8.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,Missing,Missing,Missing,0,12,2008,Rare_var,12.206072645530174,0,0,0,0,0,0,0,0,0,0,0
1480,907418040,20,RL,4.30406509320417,9.172326929777967,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,7.215975002651466,0,0,7.215975002651466,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Missing,Attchd,1.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,Missing,Missing,Missing,0,6,2008,WD ,12.170445467887022,0,0,0,0,0,0,0,0,0,0,0
324,923202105,20,RL,4.532599493153256,9.221675881639928,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,7.265429723253953,0,0,7.265429723253953,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Missing,Attchd,6.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,3,2010,WD ,12.063932878369052,0,0,0,0,0,0,0,0,0,0,0
1311,902301140,70,RM,3.5263605246161616,8.427487278331744,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,92,58,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,6.436150368369428,720,0,7.203405521083095,0.0,0.0,1,0,4,1,TA,7,Typ,0,Missing,Detchd,92.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,Missing,Missing,Missing,0,5,2008,COD,11.49272275765271,0,0,0,0,0,0,0,0,0,0,0
770,905101490,20,RL,4.382026634673881,9.084323531392696,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,46,46,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,7.02197642307216,0,0,7.02197642307216,1.0,0.0,1,0,3,1,TA,5,Typ,0,Missing,Detchd,46.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,Missing,MnPrv,Missing,0,6,2009,WD ,11.842229212112828,0,0,0,0,0,0,0,0,0,0,0
2063,905107140,20,RL,4.2626798770413155,9.011523512653032,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,30,30,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,7.158513997329321,0,0,7.158513997329321,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,30.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,Missing,MnPrv,Missing,0,4,2007,WD ,11.874090314181814,0,0,0,0,0,0,0,0,0,0,0
69,528458070,60,FV,4.276666119016055,9.064157861798101,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,6.638567789166521,783,0,7.344072850573066,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Missing,Attchd,1.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,Missing,Missing,Missing,0,6,2010,Rare_var,12.279323107269766,0,0,0,0,0,0,0,0,0,0,0
2062,905106150,20,RL,4.6913478822291435,9.07383312732152,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,39,39,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,6.795705775173514,0,0,6.795705775173514,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,39.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,5,2007,WD ,11.76756768334381,0,0,0,0,0,0,0,0,0,0,0
351,527131030,120,RL,3.6888794541139363,8.641885635373555,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,9,9,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,7.413970290190444,0,0,7.413970290190444,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,9.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,Missing,Missing,Missing,0,10,2009,WD ,12.535376392672774,0,0,0,0,0,0,0,0,0,0,0
2393,528142010,60,RL,4.634728988229636,9.46242117318499,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1,0,Gable,CompShg,CemntBd,CmentBd,Missing,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,7.097548850614793,1044,0,7.720017940432244,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,1.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,Missing,Missing,Missing,0,7,2006,New,12.748783489541202,0,1,0,0,0,0,0,0,0,0,0
12,527165230,20,RL,4.219507705176107,8.984693690443855,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,18,3,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,7.079184394609668,0,0,7.079184394609668,1.0,0.0,2,0,3,1,TA,6,Typ,0,Missing,Attchd,18.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,Missing,GdPrv,Shed,500,3,2010,WD ,12.128111104060462,1,0,0,0,0,0,0,0,0,0,0
2339,527250040,190,RL,4.605170185988092,10.453053004618049,Pave,Missing,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,51,51,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,6.962243464266207,0,0,6.962243464266207,1.0,0.0,1,0,3,1,TA,5,Typ,0,Missing,Attchd,51.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,Missing,Missing,Missing,0,1,2006,WD ,11.884489021402711,0,0,0,0,0,0,0,0,0,0,0
624,535104120,20,RL,4.5217885770490405,9.266058860732526,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,48,48,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,7.2813856635702825,0,0,7.2813856635702825,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,48.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,Missing,GdPrv,Missing,0,4,2009,WD ,12.141534124392603,0,0,0,0,0,0,0,0,0,0,0
86,532376160,20,RL,4.174387269895637,9.041921720351219,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,45,1,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,6.795705775173514,0,0,6.795705775173514,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,37.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,Missing,MnPrv,Missing,0,4,2010,WD ,11.83862560460953,0,0,0,0,0,0,0,0,0,0,0
1534,909277040,50,RL,4.219507705176107,9.367344120785848,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,71,13,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,7.142827401161621,673,0,7.569411792450712,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,71.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,Missing,Missing,Missing,0,7,2008,WD ,12.196022309676673,1,0,0,0,0,0,0,0,0,0,0
2243,911103060,190,Rare_var,4.31748811353631,9.017968479328726,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,112,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,6.9411900550683745,957,0,7.596392304064196,0.0,0.0,2,0,4,2,TA,9,Typ,0,Missing,Missing,27.0,Missing,0.0,0.0,Missing,Missing,N,0,0,133,0,0,0,Missing,Missing,Missing,0,6,2007,WD ,11.691908120498669,0,0,0,0,0,0,0,0,1,0,0
1957,535450190,50,RL,4.0943445622221,8.99516499031115,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,58,1,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,6.51025834052315,252,0,6.828712071641684,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,4.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,Missing,MnPrv,Shed,2000,7,2007,WD ,11.719126295554126,0,0,0,0,0,0,0,0,0,0,0
380,527355150,20,RL,4.382026634673881,9.169518377455928,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,28,28,Hip,Rare_var,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,7.8336002236611035,0,0,7.8336002236611035,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,28.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,Missing,MnPrv,Missing,0,7,2009,WD ,12.535376392672774,0,0,0,0,0,0,0,0,0,0,0
2860,909276010,70,RL,4.219507705176107,9.344434106456882,Pave,Missing,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,77,56,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,6.674561391814426,725,0,7.324489979348532,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,75.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,6,2006,WD ,12.345834587905333,1,0,0,0,0,0,0,0,0,0,0
2517,533250130,120,RL,3.4011973816621555,9.164191715950203,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,Rare_var,Norm,Norm,TwnhsE,1Story,8,5,11,10,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,Y,SBrkr,7.309212365692763,0,0,7.309212365692763,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,11.0,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,Missing,Missing,Missing,0,4,2006,WD ,12.506177237980511,0,0,0,0,0,0,0,0,0,0,0
1933,535302070,20,RL,4.0943445622221,9.301094735244646,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,55,55,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,TA,Y,SBrkr,6.854354502255021,0,0,6.854354502255021,0.0,0.0,1,0,2,1,TA,5,Typ,0,Missing,Detchd,55.0,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,Missing,Missing,Missing,0,4,2007,WD ,11.736069016284437,0,0,0,0,0,0,0,0,0,0,0
820,906340110,20,RL,4.3694478524670215,9.272093768251665,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2,1,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,Ex,Y,SBrkr,7.4489161025442,0,0,7.4489161025442,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2.0,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,Missing,Missing,Missing,0,9,2009,WD ,12.601487417784837,0,0,0,0,0,0,0,0,0,0,0
675,535426150,20,RL,4.382026634673881,9.104979856318357,Pave,Missing,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,51,51,Rare_var,Rare_var,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,160.0,GasA,Fa,Y,SBrkr,7.040536390215956,0,0,7.040536390215956,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,51.0,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,0,Missing,Missing,Missing,0,4,2009,WD ,11.639558115903595,0,0,0,0,0,0,0,0,0,0,0
2910,923225240,160,RM,3.713572066704308,7.887959336599945,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,29,29,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,Ex,Y,SBrkr,6.829793737512425,550,0,7.29641326877392,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,29.0,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,0,Missing,Missing,Missing,0,7,2006,WD ,11.751942365440728,0,0,0,0,0,0,0,0,0,0,0
21,527358140,20,RL,4.653960350157523,9.371693622333941,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,33,33,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,7.519692404116539,0,0,7.519692404116539,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,33.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,Missing,MnPrv,Missing,0,1,2010,COD,12.154779351142624,0,0,0,0,0,0,0,0,0,0,0
